,hh_id,maz,walk_subzone,income,autos,jtf_choice,size,workers,auto_suff
8,3361442,2,0,195000,0,1,3,3,nocars
14,324050,2,0,0,1,-2,1,1,cars>=wkrs
19,747013,2,0,32000,1,-2,1,1,cars>=wkrs
25,3259164,3,0,110000,2,1,3,2,cars>=wkrs
32,3085537,4,0,58000,1,1,4,0,cars>=wkrs
58,1591352,4,0,78000,1,-3,2,1,cars>=wkrs
61,894034,5,0,49000,1,-2,1,1,cars>=wkrs
68,3085558,5,0,58000,1,1,4,0,cars>=wkrs
72,3149523,5,0,272500,2,1,3,1,cars>=wkrs
80,2205470,6,0,51000,0,1,2,2,nocars
105,2918351,7,0,54200,1,1,3,0,cars>=wkrs
111,1970011,7,0,713000,2,1,3,1,cars>=wkrs
115,1026247,7,0,20000,0,-2,1,1,nocars
116,747544,7,0,30000,1,-2,1,1,cars>=wkrs
124,3266265,7,0,339300,4,1,3,2,cars>=wkrs
130,76,7,0,6000,0,-2,1,0,nocars
131,2148681,7,0,69000,3,1,2,2,cars>=wkrs
140,2788534,8,0,148000,2,1,3,2,cars>=wkrs
147,3404396,9,0,68600,1,1,3,3,cars<wkrs
154,1026261,10,0,7300,1,-2,1,1,cars>=wkrs
167,1519993,12,0,86000,0,-3,3,0,nocars
183,3378616,13,0,79000,2,1,3,3,cars<wkrs
186,2215888,13,0,348000,1,1,2,2,cars<wkrs
188,3085624,13,0,58000,0,1,4,0,nocars
193,630239,14,0,6700,0,-2,1,1,nocars
196,1514365,14,0,44100,1,1,3,0,cars>=wkrs
197,2215957,14,0,160600,2,1,2,2,cars>=wkrs
201,2737990,14,0,127400,1,1,3,2,cars<wkrs
216,508541,15,0,35200,0,-2,1,1,nocars
228,54166,17,0,139000,0,-2,1,0,nocars
233,748238,17,0,45300,1,-2,1,1,cars>=wkrs
242,1307162,19,0,137000,1,1,2,0,cars>=wkrs
245,2788552,19,0,462000,2,1,3,2,cars>=wkrs
247,3189660,19,0,152800,2,1,3,1,cars>=wkrs
248,748338,19,0,30000,1,-2,1,1,cars>=wkrs
250,403538,19,0,201000,1,-2,1,1,cars>=wkrs
253,2205548,19,0,52000,2,1,2,2,cars>=wkrs
255,2912861,19,0,45600,0,1,6,2,nocars
272,3769898,19,0,34500,0,1,10,0,nocars
313,748636,25,0,32000,0,-2,1,1,nocars
322,2601680,25,0,80500,0,1,3,2,nocars
324,370225,25,0,44000,0,-2,1,1,nocars
326,3277158,25,0,63000,2,-3,3,2,cars>=wkrs
329,50462,25,0,35000,0,-2,1,0,nocars
339,3168493,25,0,92000,1,1,3,1,cars>=wkrs
340,1514390,25,0,44100,0,1,3,0,nocars
343,1591444,25,0,159400,2,1,2,1,cars>=wkrs
352,2929468,25,0,44700,1,1,3,0,cars>=wkrs
353,2918496,25,0,54200,1,1,3,0,cars>=wkrs
358,3294823,25,0,115180,0,1,3,2,nocars
362,3355205,26,0,23400,1,-3,3,3,cars<wkrs
381,271839,27,0,7200,0,-2,1,1,nocars
