,hh_id,tour_purpose,orig_purpose,dest_purpose,orig_maz,dest_maz,trip_mode,num_participants,tour_mode,board_tap,alight_tap,orig_taz,dest_taz
0,2050000,maintenance,Home,maintenance,55,57,10,7,10,64391,64393,55,57
1,2050000,maintenance,maintenance,Home,57,55,10,7,10,60038,60037,57,55
2,3768492,discretionary,Home,discretionary,56,56,7,2,5,0,0,56,56
3,3768492,discretionary,discretionary,Home,56,56,7,2,5,0,0,56,56
8,3059837,maintenance,Home,maintenance,89,30,5,3,5,0,0,80,30
9,3059837,maintenance,maintenance,Home,30,89,5,3,5,0,0,30,80
14,2797597,discretionary,Home,discretionary,110,2503,5,3,5,0,0,84,606
15,2797597,discretionary,discretionary,Home,2503,110,5,3,5,0,0,606,84
16,1567388,maintenance,Home,maintenance,122,57,5,5,5,0,0,87,57
17,1567388,maintenance,maintenance,Home,57,122,5,5,5,0,0,57,87
18,3086602,shop,Home,shop,123,649,5,3,5,0,0,88,225
19,3086602,shop,shop,Home,649,123,5,3,5,0,0,225,88
20,1553760,maintenance,Home,maintenance,227,195,3,2,3,0,0,120,109
21,1553760,maintenance,maintenance,Home,195,227,3,2,3,0,0,109,120
22,3234049,discretionary,Home,discretionary,249,415,5,3,5,0,0,125,166
23,3234049,discretionary,discretionary,Home,415,249,5,3,5,0,0,166,125
24,1356169,shop,Home,shop,280,2267,3,2,3,0,0,133,132
25,1356169,shop,shop,Home,2267,280,3,2,3,0,0,132,133
26,2855242,maintenance,Home,maintenance,319,275,5,3,5,0,0,143,132
27,2855242,maintenance,maintenance,Home,275,319,5,3,5,0,0,132,143
28,2577946,discretionary,Home,discretionary,326,11048,5,2,5,0,0,145,1364
29,2577946,discretionary,discretionary,Home,11048,326,5,2,5,0,0,1364,145
32,2053987,visiting,Home,visiting,346,491,5,6,5,0,0,150,187
33,2053987,visiting,visiting,Home,491,346,5,6,5,0,0,187,150
34,2000414,maintenance,Home,maintenance,357,602,3,2,3,0,0,152,214
35,2000414,maintenance,maintenance,Home,602,357,3,2,3,0,0,214,152
36,3087692,shop,Home,shop,383,388,3,2,3,0,0,159,160
37,3087692,shop,shop,Home,388,383,3,2,3,0,0,160,159
38,1514800,shop,Home,shop,386,370,3,2,3,0,0,159,156
39,1514800,shop,shop,Home,370,386,3,2,3,0,0,156,159
