,hh_id,person_id,tour_id,orig_purpose,dest_purpose,orig_maz,dest_maz,trip_mode,board_tap,alight_tap
94967,2051162,3943948,0,Home,discretionary,1590,1539,7,0,0
94968,2051162,3943948,0,discretionary,Home,1539,1590,7,0,0
94969,2051162,3943948,1,Home,Shop,1590,1563,1,0,0
94970,2051162,3943948,1,Shop,eatingout,1563,1573,1,0,0
94971,2051162,3943948,1,eatingout,Home,1573,1590,1,0,0
94972,2051162,3943948,2,Home,eatingout,1590,2005,1,0,0
94973,2051162,3943948,2,eatingout,Home,2005,1590,5,0,0
94974,2051162,3943949,0,Home,escort,1590,1564,5,0,0
94975,2051162,3943949,0,escort,Home,1564,1590,1,0,0
94976,2051162,3943950,0,Home,school,1590,1592,3,0,0
94977,2051162,3943950,0,school,Visiting,1592,1588,3,0,0
94978,2051162,3943950,0,Visiting,Home,1588,1590,3,0,0
94979,2051162,3943951,0,Home,shop,1590,186,5,0,0
94980,2051162,3943951,0,shop,Home,186,1590,5,0,0
94981,2051162,3943952,0,Home,discretionary,1590,1306,5,0,0
94982,2051162,3943952,0,discretionary,Escort,1306,7082,5,0,0
94983,2051162,3943952,0,Escort,Home,7082,1590,5,0,0
94984,2051162,3943952,1,Home,Maintenance,1590,1590,5,0,0
94985,2051162,3943952,1,Maintenance,discretionary,1590,1638,5,0,0
94986,2051162,3943952,1,discretionary,Home,1638,1590,5,0,0
161888,3273911,7582498,0,Home,maintenance,5537,6287,1,0,0
161889,3273911,7582498,0,maintenance,Home,6287,5537,1,0,0
161890,3273911,7582499,0,Home,escort,5537,5535,5,0,0
161891,3273911,7582499,0,escort,Home,5535,5537,3,0,0
161892,3273911,7582499,1,Home,Maintenance,5537,6222,1,0,0
161893,3273911,7582499,1,Maintenance,EatingOut,6222,6156,5,0,0
161894,3273911,7582499,1,EatingOut,shop,6156,5356,3,0,0
161895,3273911,7582499,1,shop,Home,5356,5537,5,0,0
161896,3273911,7582500,0,Home,shop,5537,6294,5,0,0
161897,3273911,7582500,0,shop,Shop,6294,6286,1,0,0
161898,3273911,7582500,0,Shop,Maintenance,6286,5592,1,0,0
161899,3273911,7582500,0,Maintenance,Home,5592,5537,1,0,0
161900,3273911,7582500,1,Home,Shop,5537,6255,1,0,0
161901,3273911,7582500,1,Shop,Escort,6255,1695,3,0,0
161902,3273911,7582500,1,Escort,maintenance,1695,6985,3,0,0
161903,3273911,7582500,1,maintenance,Home,6985,5537,3,0,0
161904,3273911,7582500,2,Home,Shop,5537,6174,5,0,0
161905,3273911,7582500,2,Shop,eatingout,6174,6173,3,0,0
161906,3273911,7582500,2,eatingout,Home,6173,5537,1,0,0
207817,2019925,3814705,0,Home,escort,10572,10576,1,0,0
207818,2019925,3814705,0,escort,Home,10576,10572,1,0,0
207819,2019925,3814706,0,Home,discretionary,10572,10667,1,0,0
207820,2019925,3814706,0,discretionary,Home,10667,10572,1,0,0
207821,2019925,3814706,1,Home,visiting,10572,1168,1,0,0
207822,2019925,3814706,1,visiting,Home,1168,10572,1,0,0
207823,2019925,3814707,0,Home,school,10572,10575,5,0,0
207824,2019925,3814707,0,school,Shop,10575,9457,5,0,0
207825,2019925,3814707,0,Shop,Home,9457,10572,5,0,0
207826,2019925,3814708,0,Home,discretionary,10572,10187,5,0,0
207827,2019925,3814708,0,discretionary,Home,10187,10572,5,0,0
237572,2484828,4948826,0,Home,work,11870,11872,1,0,0
237573,2484828,4948826,0,work,Maintenance,11872,11885,1,0,0
237574,2484828,4948826,0,Maintenance,Shop,11885,11925,1,0,0
237575,2484828,4948826,0,Shop,Shop,11925,12026,1,0,0
237576,2484828,4948826,0,Shop,Home,12026,11870,1,0,0
237577,2484828,4948826,1,Home,work,11870,11872,1,0,0
237578,2484828,4948826,1,work,Home,11872,11870,1,0,0
237579,2484828,4948827,0,Home,work,11870,12728,3,0,0
237580,2484828,4948827,0,work,Shop,12728,11231,3,0,0
237581,2484828,4948827,0,Shop,work related,11231,10759,1,0,0
237582,2484828,4948827,0,work related,Home,10759,11870,3,0,0
237583,2484828,4948827,1,Home,work,11870,12728,3,0,0
237584,2484828,4948827,1,work,Home,12728,11870,3,0,0
313121,2429487,4838144,0,Home,work,16805,16806,1,0,0
313122,2429487,4838144,0,work,Home,16806,16805,1,0,0
313123,2429487,4838144,1,Home,work,16805,16806,1,0,0
313124,2429487,4838144,1,work,Home,16806,16805,1,0,0
313125,2429487,4838145,0,Home,maintenance,16805,16809,1,0,0
313126,2429487,4838145,0,maintenance,Home,16809,16805,1,0,0
313127,2429487,4838145,1,Home,visiting,16805,16807,1,0,0
313128,2429487,4838145,1,visiting,Home,16807,16805,1,0,0
